,unnamed,score,Close1,Close2,Close3,Close4,Close5,Close6,Close7,Close8,Close9,Close10,High1,High2,High3,High4,High5,High6,High7,High8,High9,High10,Low1,Low2,Low3,Low4,Low5,Low6,Low7,Low8,Low9,Low10,Open1,Open2,Open3,Open4,Open5,Open6,Open7,Open8,Open9,Open10
99,,3,1.0,0.7555555555555555,0.3777777777777782,0.3111111111111118,0.28888888888888964,0.0,0.13333333333333375,0.2666666666666666,0.08888888888888946,0.044444444444445175,0.9729729729729737,1.0,0.621621621621621,0.37837837837837895,0.32432432432432456,0.21621621621621578,0.2702702702702702,0.16216216216216317,0.10810810810810878,0.0,0.7297297297297298,1.0,0.3243243243243228,0.45945945945945965,0.48648648648648596,0.0810810810810807,0.1891891891891877,0.3783783783783772,0.2702702702702702,0.0,0.8372093023255811,1.0,0.558139534883721,0.23255813953488325,0.2790697674418601,0.2790697674418601,0.0,0.13953488372093048,0.2790697674418601,0.18604651162790642
100,,2,0.15384801765850398,0.07692400882925199,0.6153848017658525,1.0,0.7692328194243565,0.846154405297554,0.3076936123609535,0.0,0.0,0.846154405297554,0.20000128062697797,8.129103505893909e-07,0.6666656022359199,0.7333319586154126,1.0,0.6666659119659712,0.6000000784692539,0.0,0.13333309619014244,0.5333328130478883,0.30769353708818414,9.103858360504091e-07,0.15384598135799266,0.6923062417940784,1.0,0.8461526539168212,0.30769296099659726,0.0,0.3076916978844082,0.6153838757820687,0.5000006544116467,0.18750035915428143,0.0,0.7499986769450722,1.0,0.8749989517648586,0.8749996208488575,0.2499995086788971,0.062499796208946634,0.37499970828186235
101,,3,0.0,0.02000017523052655,0.14000122661369296,0.3600007646423027,0.2400013062639328,0.6600002070906239,0.8999991238473601,1.0,0.8800005416216301,1.0,0.0166660149019755,0.0,0.05000045256029928,0.2666664857676082,0.3333336169088579,0.49999991149320344,1.0,0.9166673862980144,0.9000011166887152,0.8666681076379703,0.0,0.05454642594063408,0.16363691000799818,0.327273432988477,0.4000011201015248,0.45454517974043007,0.7454535485209117,0.9090909447113162,0.945455565822737,1.0,0.0,0.17543902078546125,0.08771962130639643,0.29824534742513364,0.4736841033530652,0.36842069105589736,0.8245604396944337,0.9649126534109804,1.0,0.9824562452208898
102,,3,0.3000009196558011,0.40000122620773837,0.2000006131038674,0.8999996934480627,0.0,0.6999990803441953,0.2000006131038674,1.0,1.0,0.8999996934480627,0.6000002142567489,0.3000007606339743,0.0,0.7999996376691065,0.3999989556119381,0.09999904647569835,0.19999992344292394,1.0,1.0,0.999999560725108,0.22222348335056452,0.22222395607587586,0.22222300722436117,0.44444496247687937,3.610742282944557e-08,0.0,9.917852104024405e-07,0.11111240297319469,0.777778458030042,1.0,0.7692310426200599,0.5384623671540432,0.23076969168692685,0.6153846578680593,0.6923070186220777,0.0,0.38461569506455007,0.07692396763357578,1.0,0.7692306609480539
103,,4,0.12500029802279755,0.5000011920911902,0.937498658897411,1.0,0.4374998509886012,0.6249991059316073,0.0,1.0,0.8749997019772024,0.6249991059316073,0.0,0.3125002980235081,0.9375008940705243,1.0,0.8125002980235081,0.6250005960470162,0.3125002980235081,0.6874997019764919,0.6874997019764919,0.7500011920940324,0.0,0.3999989827473982,1.0,0.4666646321614607,0.5999984741210938,0.7333323160807304,0.133331298828125,0.5999984741210938,0.5999984741210938,0.6666666666666679,0.0,0.1333338419596366,0.8000005086263009,0.7333348592122384,1.0,0.46666717529296875,0.46666717529296875,0.33333333333333215,0.9333343505859375,0.9333343505859375
104,,5,0.9230755749176893,1.0,0.6923073071193429,0.30769269288066425,0.15384634644033213,0.5384609606790107,0.6923073071193429,0.9230755749176893,0.3846146142386857,0.0,1.0,0.6923090323912646,0.6923083065363969,0.461539349909323,0.23076967420359296,0.3076924291827581,0.3846158956130239,0.6153844937270563,0.6153844672054589,0.0,1.0,0.8000017640005197,0.9000008747400088,0.10000098139600055,0.1000005134751234,0.2000001106362319,0.20000057650702274,0.899999959314421,0.3999997220535363,0.0,1.0,0.5714296296264436,0.5714289584148489,0.5000006669022596,0.0,0.14285691501988396,0.21428586858318255,0.35714245064027494,0.6428568923951659,0.07142827797436979
105,,1,0.1578947914225317,0.0,0.2500005185140619,0.32894739571126586,0.5921057270915284,0.8815786471760685,0.9078953099365954,0.9999999999999982,0.7631583313802626,0.723683855753535,0.025642091423978997,0.0,0.21794947187294156,0.3333338978767877,0.5769231205078427,0.8461541242978949,1.0,0.9743592536911976,0.8589743185820211,0.7051273466009089,0.05333300682200459,0.0,0.13333367009731845,0.22666628154387958,0.3866663129883374,0.7199992015677008,0.7733329877499671,1.0,0.7999998595240818,0.599999571315708,0.0,0.10526203765970799,0.09210475841494059,0.26315753137885345,0.355262920514388,0.6315782582005536,1.0,0.9605257719561262,0.921052436211717,0.749998995730996
106,,2,0.4999992199237724,0.6250001950190587,0.7083326182634586,0.5416646514697412,0.08333242324439993,0.33333281328251374,0.0,0.7916650415078585,1.0,0.7083326182634586,0.1111103527666586,0.2592584718753379,0.37036922803217465,0.40740603273660625,0.22222187859505382,0.037036074702385235,0.0,0.37036885632477734,1.0,0.6666664711267067,0.0869551619305895,0.47826076734445166,0.6956528505867006,0.6086944122798883,0.13043443953560185,0.13043479809871883,0.0,0.3913038521402541,1.0,0.7391300854205873,0.17857025671819216,0.3571433019775263,0.5357138774537944,0.6428560333628894,0.46428568952929794,0.0,0.14285759400128484,0.24999977384408467,1.0,0.8571423363558104
107,,1,0.0,0.6862747151317867,0.7254905627353327,1.0,0.5882354701129602,0.37254943026357346,0.4117645298870398,0.5294120726976796,0.7647064103388796,0.7647064103388796,0.0,0.5737706353286081,0.7213119059858242,1.0,0.7213119059858242,0.5737706353286081,0.4754102051307063,0.5245904202296572,0.7213119059858242,0.8360655327632553,0.0,0.6249997445516264,0.2321426260228998,0.5892853371952587,0.7678566927814376,0.642857288827642,0.5714284741149056,0.7499998297010846,0.7142854223447159,1.0,0.0,0.7413792763255245,0.31034473686806674,0.827586184217016,0.9827588815043056,0.7586203948212189,0.5517243420468478,0.6551723684340329,0.6896552631319324,0.9999999999999991
108,,1,0.0,0.015384422033694278,0.07692305868242366,0.0,0.015384422033694278,0.30769247185818394,0.4769230112567264,0.8923076229932114,0.8461538826351518,1.0,0.06060624839768636,0.0,0.10606076354978677,0.06060624839768636,0.09090907773002055,0.33333362940241207,0.5303030596176908,0.8333332925676262,0.939393995835911,0.9999999999999996,0.0,0.07272705198140716,0.09090906637285112,0.16363637264269482,0.10909068848902326,0.2727274371759769,0.5818180838122391,0.6545453223916535,1.0,0.9999999442274596,0.0,0.11594185690178982,0.1739130353046674,0.18840581459487105,0.17391287381601916,0.20289868868107863,0.5217390733128622,0.5652173077717624,0.9855072919131942,1.0
