,name,Close1,Close2,Close3,Close4,Close5,Close6,Close7,Close8,Close9,Close10,High1,High2,High3,High4,High5,High6,High7,High8,High9,High10,Low1,Low2,Low3,Low4,Low5,Low6,Low7,Low8,Low9,Low10,Open1,Open2,Open3,Open4,Open5,Open6,Open7,Open8,Open9,Open10
472,2836A.TW,0.6666534778823916,0.6666534778823916,0.6666534778823916,0.6666534778823916,0.6666534778823916,0.6666534778823916,0.6666534778823916,0.3333333333333428,0.6666534778823916,1.0,0.4999802168236158,0.4999802168236158,0.4999802168236158,0.4999802168236158,0.4999802168236158,0.4999802168236158,0.4999802168236158,0.0,0.4999802168236158,1.0,0.9999884638971537,0.9999884638971537,0.9999884638971537,0.9999884638971537,0.9999884638971537,0.9999884638971537,0.9999884638971537,0.5000041236183392,0.9999884638971537,1.0,0.4999802168236158,0.4999802168236158,0.4999802168236158,0.4999802168236158,0.4999802168236158,0.4999802168236158,0.4999802168236158,0.0,0.4999802168236158,1.0
473,2838.TW,0.08333462563689054,0.0,0.0,0.0,0.0,0.08333462563689054,0.16666580513096463,0.16666580513096463,0.3333316102619257,0.25000043076785516,7.977505518397265e-07,0.0,0.07692187179047849,0.07692187179047849,0.0,7.977505518397265e-07,0.15384529776968137,0.38461405277214666,0.2307671539609295,0.30769141454285887,9.361322916845438e-07,0.0,0.09090943166117071,0.0,0.0,9.361322916845438e-07,0.1818188448869016,0.2727264211505407,0.27272640290870953,0.272727360702568,9.361322916845438e-07,0.0,0.18181886332234143,0.09090943166117071,0.0,9.361322916845438e-07,0.1818188448869016,0.2727264211505407,0.27272640290870953,0.45454437517874524
474,2838A.TW,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.4999994298760271,1.0,1.0,0.5,1.0,0.0,0.5,0.5,0.4999994298760271,0.5,0.0,1.0,1.0,1.0,1.0,1.1402466952858958e-06,1.1402466952858958e-06,1.0,0.9999988575606267,1.0
475,2845.TW,0.03030341101038836,0.0,0.0,0.03030341101038836,0.0,0.0,0.03030341101038836,0.06060619385363619,0.09090960486402366,0.06060619385363619,0.030303411730571383,0.030303242595282498,0.030303242595282498,0.030303411730571383,0.030303242595282498,0.0,0.06060665501061635,0.12121206834666154,0.12121223934438685,0.09090943416131303,1.9691685437805972e-07,0.035714529131372075,0.035714529131372075,0.035714726855268,0.035714529131372075,0.0,0.035714726855268,0.1071432441162905,0.10714344323088909,0.1071432441162905,0.0,0.0714288754114385,0.0714288754114385,0.0357145369712093,0.03571433924727252,0.03571433924727252,0.0357145369712093,0.10714306829771125,0.14285780299285555,0.10714306829771125
476,2849.TW,0.6666666666666572,0.0,0.3333333333333286,0.6666666666666572,1.0,1.0,0.3333333333333286,0.3333333333333286,0.0,0.3333333333333286,1.0,0.5000015250153638,0.5000020978107216,0.5000026665292268,0.5000032312142508,0.7499995157653245,0.0,0.0,0.2500004781412031,0.5000020978107216,1.0,0.49999830192047057,0.0,1.121297117379072e-06,2.2346417551943887e-06,2.2346417551943887e-06,0.4999994353179886,0.0,0.49999830192047057,0.0,1.0,0.9999988584915798,0.9999994312842091,5.606488855391945e-07,0.2500009791617259,0.5000008410019205,0.49999971564210455,0.49999971564210455,0.24999929112199482,0.0
477,2850.TW,0.2608703262235572,0.0,0.5217406524471144,0.2608703262235572,0.04347780426586567,0.08695560853173134,0.04347780426586567,0.4347850439153831,0.47826284818124876,0.2608703262235572,0.4000010355618109,0.0,0.2800001166456987,0.2799996463181209,0.11999838687999898,0.03999954761497193,0.07999894166603738,0.20000112448519403,0.24000062056544635,0.2000007546637299,0.21052708311106016,0.052633805794279453,0.26315858041748896,0.36842375795931304,0.10526475827526127,0.10526482500951317,0.15789564392470368,0.0,0.36842430591757847,0.42105464441564777,0.8333376753547412,0.2222239463271265,0.2777802132132763,0.6666685472840115,0.3333339420171697,0.0,0.05555489187263163,0.055555982292816,0.3333351089558505,0.5555586209515226
478,2851.TW,1.0,0.9166647126409799,0.9166647126409799,0.749997487681263,0.49999832512084197,0.749997487681263,0.49999832512084197,0.16666722495971698,0.0,0.0,1.0,0.9999999519238827,0.9999999519238827,0.9090889937369653,0.8181816437737695,0.8181814126358162,0.8181816437737695,0.4545447544696586,0.09091105054079662,0.0,0.8333327292072283,1.0,1.0,0.8333327680442224,0.5833335947982192,0.8333327680442224,0.6666656632251815,0.08333198406072029,0.166667317660405,0.0,0.7272728760308453,0.9999999093814154,0.9999999093814154,1.0,0.8181810202609441,0.7272729183985547,0.8181810202609441,0.2727272244823169,0.18181944561781904,2.321704641872202e-07
479,2852.TW,0.7142840818192226,0.4285681636384382,0.4285681636384382,0.4285681636384382,0.28571591818077735,0.0,0.0,0.14285224545766084,0.14285224545766084,0.14285224545766084,0.374999844186803,0.37499933856854994,0.37499933856854994,0.24999654913054314,0.37500172020810396,0.12500040005426172,2.373925752863215e-06,0.0,0.0,0.12499801969519808,0.16667084588099357,0.5000028435919646,0.33333333329414927,0.5000028435919646,0.5000059934858712,0.1666726565278296,0.1666726565278296,0.16666950846583717,0.0,0.16666950846583717,0.0,0.9999983906742784,0.9999983906742784,0.5999971892806997,0.4000041831697132,0.6000001844685556,2.17278710579194e-06,0.19999517889809226,0.19999517889809226,0.19999517889809226
480,2855.TW,0.12903296547364818,0.06451712772750362,0.0,0.35483904257583454,0.29032320482969,0.2580646409659373,0.12903296547364818,0.48387071806812365,0.5806451196780209,0.7741939228978136,0.10344813243361983,0.10344872014902506,0.0,0.27586238960942033,0.34482737049781065,0.24137971591416196,0.20689736340586862,0.41379265692546596,0.6551724772943572,0.7931022248505286,0.06666710162882339,0.13333455870551347,0.0,0.06666769046526255,0.3333333049221512,0.3000007432961649,0.13333399624736408,0.23333319538581776,0.5999996546460657,0.7666659036944576,0.0,0.14285830357150964,0.10714236761149998,0.03571437577305936,0.39285651379810815,0.28571419053507263,0.21428518446034595,0.17857089795919023,0.6071431071915825,0.8928567596733288
481,2867.TW,1.0,0.9333350287532554,0.6000006357824716,0.5333324856233688,0.6000006357824716,0.6000006357824716,0.39999936421752125,0.39999936421752125,0.26666624281168083,0.2000012715649433,1.0,1.0,0.7999987284350567,0.39999936421752835,0.5333324856233688,0.39999936421752835,0.39999936421752835,0.39999936421752835,0.26666624281168083,0.26666624281168083,0.9090889386918235,1.0,0.7272711509534631,0.636364424523272,0.4545466367849116,0.5454533632150955,0.5454533632150955,0.4545466367849116,0.3636355754767351,0.18181778773836754,0.5624985098824595,1.0,0.875,0.5,0.375,0.5,0.5,0.31249850988245953,0.25,0.31249850988245953
